H NuGrid yields Set1: set1.2
H Data prepared by: critter
H Data prepared date: 02 Feb 2016
H Elements: H, He, Li, B, C, N, O, F, Ne, Na, Mg, Al, Si, P, Pb, S, Cl, Ar, K, Ca, Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn, Ga, Ge, As, Se, Br, Kr, Rb, Sr, Y, Zr, Nb, Mo, Ru, Rh, Pd, Ag, Cd, In, Sn, Sb, Te, I, Xe, Cs, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, Ta, W, Re, Os, Ir, Pt, Au, Hg, Tl, Bi
H Number of metallicities: 1
H Units: Msun, year, erg
H Table: (M=15.0,Z=0.02)
H Lifetime: 1.302E+07
H Mfinal: 0.000E+00
&Isotopes &Yields    &X0        &Z 
&H        &6.526E+00 &7.065E-01 &1 
&He       &5.068E+00 &2.735E-01 &2 
&Li       &7.484E-11 &7.605E-11 &3 
&B        &4.284E-08 &2.856E-09 &5 
&C        &1.783E-01 &3.466E-03 &6 
&N        &5.004E-02 &1.063E-03 &7 
&O        &9.239E-01 &9.650E-03 &8 
&F        &4.828E-06 &5.611E-07 &9 
&Ne       &2.711E-01 &1.969E-03 &10
&Na       &8.984E-03 &4.000E-05 &11
&Mg       &5.731E-02 &7.521E-04 &12
&Al       &3.511E-03 &6.481E-05 &13
&Si       &3.407E-01 &8.112E-04 &14
&P        &4.155E-03 &7.106E-06 &15
&Pb       &2.316E-07 &1.503E-08 &82
&S        &2.243E-01 &4.233E-04 &16
&Cl       &8.238E-04 &9.127E-06 &17
&Ar       &2.169E-02 &9.779E-05 &18
&K        &1.191E-04 &4.196E-06 &19
&Ca       &1.008E-03 &7.475E-05 &20
&Sc       &2.610E-06 &5.414E-08 &21
&Ti       &5.215E-03 &4.081E-06 &22
&V        &4.261E-03 &4.148E-07 &23
&Cr       &2.194E-01 &1.980E-05 &24
&Mn       &3.102E-02 &1.098E-05 &25
&Fe       &7.798E-01 &1.438E-03 &26
&Co       &4.112E-02 &3.991E-06 &27
&Ni       &2.264E-01 &8.499E-05 &28
&Cu       &1.099E-02 &9.635E-07 &29
&Zn       &2.442E-03 &2.379E-06 &30
&Ga       &2.401E-05 &7.658E-08 &31
&Ge       &4.219E-05 &2.521E-07 &32
&As       &2.287E-06 &1.430E-08 &33
&Se       &1.455E-05 &1.439E-07 &34
&Br       &2.581E-06 &2.775E-08 &35
&Kr       &1.164E-05 &1.159E-07 &36
&Rb       &2.303E-06 &1.789E-08 &37
&Sr       &7.893E-06 &6.072E-08 &38
&Y        &7.571E-07 &1.229E-08 &39
&Zr       &1.036E-06 &3.026E-08 &40
&Nb       &7.248E-08 &1.900E-09 &41
&Mo       &1.229E-07 &7.123E-09 &42
&Ru       &8.142E-08 &5.563E-09 &44
&Rh       &1.410E-08 &1.055E-09 &45
&Pd       &6.586E-08 &4.342E-09 &46
&Ag       &2.048E-08 &1.526E-09 &47
&Cd       &8.124E-08 &5.388E-09 &48
&In       &8.693E-09 &6.175E-10 &49
&Sn       &1.941E-07 &1.334E-08 &50
&Sb       &1.610E-08 &1.112E-09 &51
&Te       &2.243E-07 &1.805E-08 &52
&I        &1.751E-08 &1.459E-09 &53
&Xe       &2.342E-07 &1.813E-08 &54
&Cs       &1.888E-08 &1.426E-09 &55
&Ba       &2.950E-07 &1.813E-08 &56
&La       &2.844E-08 &1.792E-09 &57
&Ce       &6.771E-08 &4.646E-09 &58
&Pr       &8.875E-09 &6.910E-10 &59
&Nd       &5.068E-08 &3.713E-09 &60
&Sm       &1.510E-08 &1.252E-09 &62
&Eu       &4.765E-09 &4.288E-10 &63
&Gd       &1.884E-08 &1.503E-09 &64
&Tb       &3.193E-09 &2.765E-10 &65
&Dy       &2.274E-08 &1.868E-09 &66
&Ho       &8.668E-09 &4.244E-10 &67
&Er       &1.587E-08 &1.213E-09 &68
&Tm       &2.212E-09 &1.854E-10 &69
&Yb       &1.655E-08 &1.255E-09 &70
&Lu       &2.695E-09 &1.877E-10 &71
&Hf       &1.054E-08 &7.799E-10 &72
&Ta       &2.381E-09 &1.986E-10 &73
&W        &1.004E-08 &7.159E-10 &74
&Re       &3.320E-09 &2.821E-10 &75
&Os       &4.481E-08 &3.712E-09 &76
&Ir       &4.079E-08 &3.666E-09 &77
&Pt       &9.391E-08 &7.596E-09 &78
&Au       &1.294E-08 &1.083E-09 &79
&Hg       &3.066E-08 &2.008E-09 &80
&Tl       &1.748E-08 &1.098E-09 &81
&Bi       &1.169E-08 &8.718E-10 &83
